OrderID,InventoryID,SupplierID,SupplyID,WarehouseID,Quantity,UnitPrice,TotalInvoice,OrderDate,Unscheduled,Priority,DeliveryDate,LateDelivery,ExpectedDeliveryDate
27,2,3,1,2,3,274.82,824.46,2024-06-24,0,2,2024-07-03,0,2024-07-11
28,2,7,1,2,3,274.82,824.46,2024-06-17,0,8,2024-07-01,0,2024-07-01
29,2,7,1,2,5,274.82,1374.1,2024-06-08,1,1,2024-06-21,0,2024-06-22
30,2,9,1,2,1,274.82,274.82,2024-07-01,0,2,,0,2024-07-15
31,2,3,1,2,4,274.82,1099.28,2024-06-05,0,2,2024-06-25,1,2024-06-22
32,2,9,1,2,1,274.82,274.82,2024-06-17,0,8,2024-07-01,0,2024-07-01
33,2,3,1,2,1,274.82,274.82,2024-07-02,0,7,,0,2024-07-19
34,2,7,1,2,5,274.82,1374.1,2024-07-04,1,4,,0,2024-07-18
35,2,9,1,2,3,274.82,824.46,2024-06-29,0,7,,0,2024-07-13
36,2,9,1,2,3,274.82,824.46,2024-06-25,0,8,2024-07-05,0,2024-07-09
37,2,3,1,2,5,274.82,1374.1,2024-06-19,0,1,2024-06-26,0,2024-07-06
38,3,9,1,3,1,274.82,274.82,2024-07-01,0,2,,0,2024-07-12
39,3,3,1,3,1,274.82,274.82,2024-06-15,0,3,2024-07-05,1,2024-07-03
40,3,7,1,3,2,274.82,549.64,2024-06-25,0,1,2024-07-04,0,2024-07-13
41,3,9,1,3,1,274.82,274.82,2024-06-21,0,2,,1,2024-07-02
42,3,3,1,3,1,274.82,274.82,2024-06-27,0,8,,0,2024-07-15
43,3,7,1,3,1,274.82,274.82,2024-06-28,0,2,,0,2024-07-16
44,3,7,1,3,1,274.82,274.82,2024-06-07,0,2,2024-06-26,1,2024-06-25
45,3,3,1,3,1,274.82,274.82,2024-07-01,0,3,,0,2024-07-19
46,3,9,1,3,2,274.82,549.64,2024-06-28,0,2,,0,2024-07-09
47,3,9,1,3,1,274.82,274.82,2024-06-20,1,2,2024-06-24,0,2024-07-01
48,3,3,1,3,1,274.82,274.82,2024-07-04,1,1,,0,2024-07-22
49,3,9,1,3,2,274.82,549.64,2024-07-01,0,3,,0,2024-07-12
50,3,9,1,3,1,274.82,274.82,2024-06-30,1,2,,0,2024-07-11
51,3,9,1,3,1,274.82,274.82,2024-06-17,0,7,2024-06-21,0,2024-06-28
52,3,7,1,3,1,274.82,274.82,2024-07-04,0,2,,0,2024-07-22
53,3,3,1,3,1,274.82,274.82,2024-06-19,1,1,,0,2024-07-07
54,3,7,1,3,1,274.82,274.82,2024-06-17,0,2,2024-07-02,0,2024-07-05
55,3,7,1,3,1,274.82,274.82,2024-06-26,0,1,,0,2024-07-14
56,3,7,1,3,1,274.82,274.82,2024-06-23,0,1,,0,2024-07-11
57,3,7,1,3,1,274.82,274.82,2024-06-17,1,3,2024-07-05,0,2024-07-05
58,3,7,1,3,3,274.82,824.46,2024-06-05,1,2,2024-06-18,0,2024-06-23
59,3,9,1,3,1,274.82,274.82,2024-06-29,0,3,,0,2024-07-10
60,3,7,1,3,1,274.82,274.82,2024-06-21,0,7,2024-06-28,0,2024-07-09
61,3,9,1,3,2,274.82,549.64,2024-06-17,0,1,,1,2024-06-28
62,3,7,1,3,1,274.82,274.82,2024-06-24,0,8,2024-06-29,0,2024-07-12
63,3,3,1,3,1,274.82,274.82,2024-06-28,1,2,,0,2024-07-16
64,3,9,1,3,1,274.82,274.82,2024-07-03,0,2,,0,2024-07-14
65,3,9,1,3,1,274.82,274.82,2024-07-01,1,2,,0,2024-07-12
66,3,3,1,3,1,274.82,274.82,2024-06-16,0,7,2024-07-01,0,2024-07-04
67,3,7,1,3,1,274.82,274.82,2024-07-04,0,2,,0,2024-07-22
68,3,9,1,3,1,274.82,274.82,2024-06-18,0,8,2024-06-25,0,2024-06-29
69,3,7,1,3,1,274.82,274.82,2024-06-22,0,7,2024-06-30,0,2024-07-10
70,3,9,1,3,1,274.82,274.82,2024-06-25,0,6,,0,2024-07-06
71,3,9,1,3,1,274.82,274.82,2024-06-15,0,2,2024-06-21,0,2024-06-26
72,3,3,1,3,3,274.82,824.46,2024-07-02,1,2,,0,2024-07-20
73,3,9,1,3,1,274.82,274.82,2024-07-04,1,4,,0,2024-07-15
74,3,7,1,3,1,274.82,274.82,2024-06-20,1,2,,0,2024-07-08
75,3,3,1,3,1,274.82,274.82,2024-06-21,0,2,,0,2024-07-09
76,3,3,1,3,1,274.82,274.82,2024-06-22,1,2,,0,2024-07-10
77,3,3,1,3,1,274.82,274.82,2024-06-24,0,5,,0,2024-07-12
78,3,3,1,3,1,274.82,274.82,2024-06-17,1,1,,1,2024-07-05
79,3,3,1,3,1,274.82,274.82,2024-06-19,0,2,,0,2024-07-07
80,3,9,1,3,1,274.82,274.82,2024-06-10,0,2,2024-06-21,0,2024-06-21
81,3,3,1,3,3,274.82,824.46,2024-06-29,0,2,,0,2024-07-17
82,3,9,1,3,1,274.82,274.82,2024-06-14,0,8,2024-06-24,0,2024-06-25
83,3,7,1,3,1,274.82,274.82,2024-07-03,0,3,,0,2024-07-21
84,3,7,1,3,1,274.82,274.82,2024-07-01,0,2,,0,2024-07-19
85,3,7,1,3,1,274.82,274.82,2024-06-10,0,2,,1,2024-06-28
86,3,3,1,3,1,274.82,274.82,2024-06-10,0,1,2024-06-19,0,2024-06-28
87,3,9,1,3,2,274.82,549.64,2024-06-15,0,2,2024-06-26,0,2024-06-26
88,3,7,1,3,1,274.82,274.82,2024-06-06,0,7,2024-06-15,0,2024-06-24
89,3,9,1,3,1,274.82,274.82,2024-06-07,0,2,2024-06-17,0,2024-06-18
90,3,3,1,3,1,274.82,274.82,2024-07-03,0,2,,0,2024-07-21
91,3,7,1,3,1,274.82,274.82,2024-06-20,0,4,,0,2024-07-08
92,3,3,1,3,2,274.82,549.64,2024-06-21,0,2,2024-07-01,0,2024-07-09
93,3,9,1,3,1,274.82,274.82,2024-06-24,0,3,,1,2024-07-05
94,3,3,1,3,1,274.82,274.82,2024-06-21,0,7,,0,2024-07-09
95,3,7,1,3,1,274.82,274.82,2024-06-19,0,2,2024-07-02,0,2024-07-07
96,3,3,1,3,1,274.82,274.82,2024-06-22,0,3,,0,2024-07-10
97,3,7,1,3,1,274.82,274.82,2024-06-17,0,2,,1,2024-07-05
98,3,9,1,3,1,274.82,274.82,2024-06-25,1,3,,0,2024-07-06
99,3,9,1,3,1,274.82,274.82,2024-06-16,0,5,2024-06-27,0,2024-06-27
100,3,7,1,3,1,274.82,274.82,2024-06-06,0,3,2024-06-21,0,2024-06-24
101,3,9,1,3,1,274.82,274.82,2024-06-24,1,2,2024-07-04,0,2024-07-05
102,3,3,1,3,1,274.82,274.82,2024-06-27,0,2,,0,2024-07-15
103,3,9,1,3,1,274.82,274.82,2024-07-04,1,7,,0,2024-07-15
104,3,7,1,3,2,274.82,549.64,2024-06-27,0,2,,0,2024-07-15
105,3,7,1,3,1,274.82,274.82,2024-06-15,0,3,2024-06-24,0,2024-07-03
106,3,3,1,3,1,274.82,274.82,2024-07-01,0,8,,0,2024-07-19
107,3,7,1,3,1,274.82,274.82,2024-06-24,0,2,2024-07-03,0,2024-07-12
108,3,7,1,3,1,274.82,274.82,2024-06-09,0,8,2024-06-19,0,2024-06-27
109,3,9,1,3,1,274.82,274.82,2024-06-05,1,2,,1,2024-06-16
110,3,9,1,3,1,274.82,274.82,2024-06-22,0,4,2024-07-01,0,2024-07-03
111,3,7,1,3,1,274.82,274.82,2024-06-13,1,8,2024-07-01,0,2024-07-01
112,3,9,1,3,1,274.82,274.82,2024-06-29,1,2,,0,2024-07-10
113,3,3,1,3,3,274.82,824.46,2024-06-17,1,2,2024-06-25,0,2024-07-05
114,4,9,1,4,1,274.82,274.82,2024-06-06,1,3,2024-06-09,0,2024-06-19
115,4,7,1,4,1,274.82,274.82,2024-06-16,0,2,2024-06-23,0,2024-07-04
116,4,9,1,4,1,274.82,274.82,2024-07-01,0,1,,0,2024-07-14
117,4,3,1,4,1,274.82,274.82,2024-06-05,1,2,,1,2024-06-20
118,4,7,1,4,1,274.82,274.82,2024-06-28,0,2,,0,2024-07-16
119,4,7,1,4,3,274.82,824.46,2024-06-17,0,2,2024-06-28,0,2024-07-05
120,4,3,1,4,2,274.82,549.64,2024-07-04,0,2,,0,2024-07-19
121,4,3,1,4,3,274.82,824.46,2024-06-13,0,2,2024-06-26,0,2024-06-28
122,4,3,1,4,1,274.82,274.82,2024-06-23,0,2,2024-07-02,0,2024-07-08
123,4,7,1,4,4,274.82,1099.28,2024-06-08,0,2,2024-06-27,1,2024-06-26
124,4,3,1,4,2,274.82,549.64,2024-07-01,0,2,,0,2024-07-16
125,4,7,1,4,1,274.82,274.82,2024-06-18,0,3,2024-07-05,0,2024-07-06
126,4,9,1,4,1,274.82,274.82,2024-06-06,0,2,2024-06-15,0,2024-06-19
127,4,9,1,4,1,274.82,274.82,2024-06-25,0,2,,0,2024-07-08
128,4,3,1,4,5,274.82,1374.1,2024-07-03,0,3,,0,2024-07-18
129,4,7,1,4,2,274.82,549.64,2024-07-01,0,2,,0,2024-07-19
130,4,3,1,4,1,274.82,274.82,2024-06-28,0,4,,0,2024-07-13
131,4,3,1,4,1,274.82,274.82,2024-07-03,1,2,,0,2024-07-18
132,4,9,1,4,1,274.82,274.82,2024-06-05,0,4,2024-06-10,0,2024-06-18
133,4,7,1,4,1,274.82,274.82,2024-06-29,0,1,,0,2024-07-17
134,4,3,1,4,2,274.82,549.64,2024-06-06,0,3,2024-06-21,0,2024-06-21
135,4,3,1,4,2,274.82,549.64,2024-06-28,0,3,,0,2024-07-13
136,4,9,1,4,1,274.82,274.82,2024-06-09,0,6,2024-06-13,0,2024-06-22
137,4,9,1,4,2,274.82,549.64,2024-06-13,0,2,2024-06-28,1,2024-06-26
138,4,3,1,4,1,274.82,274.82,2024-07-04,1,2,,0,2024-07-19
139,4,7,1,4,1,274.82,274.82,2024-06-23,0,2,2024-07-02,0,2024-07-11
140,4,9,1,4,3,274.82,824.46,2024-06-25,0,8,,0,2024-07-08
141,4,9,1,4,1,274.82,274.82,2024-06-06,0,2,2024-06-13,0,2024-06-19
142,4,9,1,4,1,274.82,274.82,2024-06-05,0,1,2024-06-16,0,2024-06-18
143,4,9,1,4,1,274.82,274.82,2024-06-14,0,2,2024-06-17,0,2024-06-27
144,4,9,1,4,1,274.82,274.82,2024-06-19,0,3,2024-06-30,0,2024-07-02
145,4,3,1,4,1,274.82,274.82,2024-06-06,0,2,2024-06-13,0,2024-06-21
146,4,7,1,4,1,274.82,274.82,2024-06-07,0,6,2024-06-21,0,2024-06-25
147,4,7,1,4,2,274.82,549.64,2024-06-29,0,8,,0,2024-07-17
148,4,9,1,4,1,274.82,274.82,2024-07-01,0,8,,0,2024-07-14
149,4,7,1,4,3,274.82,824.46,2024-06-21,0,1,2024-06-30,0,2024-07-09
150,4,9,1,4,1,274.82,274.82,2024-06-29,0,6,,0,2024-07-12
151,4,7,1,4,4,274.82,1099.28,2024-06-13,1,1,,1,2024-07-01
152,4,7,1,4,1,274.82,274.82,2024-06-29,0,1,2024-07-05,0,2024-07-17
153,4,9,1,4,2,274.82,549.64,2024-06-06,0,7,2024-06-18,0,2024-06-19
154,4,9,1,4,2,274.82,549.64,2024-07-01,0,3,,0,2024-07-14
155,4,3,1,4,3,274.82,824.46,2024-06-24,0,2,,0,2024-07-09
156,5,3,1,5,1,274.82,274.82,2024-06-14,0,2,2024-06-23,0,2024-07-04
157,5,3,1,5,1,274.82,274.82,2024-06-10,0,5,2024-06-18,0,2024-06-30
158,5,9,1,5,3,274.82,824.46,2024-06-23,0,1,2024-06-28,0,2024-07-17
159,5,7,1,5,1,274.82,274.82,2024-06-18,0,1,2024-07-01,0,2024-07-03
160,5,7,1,5,1,274.82,274.82,2024-06-28,0,6,,0,2024-07-13
161,5,9,1,5,1,274.82,274.82,2024-07-01,1,7,,0,2024-07-25
162,5,9,1,5,1,274.82,274.82,2024-06-22,0,2,2024-07-01,0,2024-07-16
163,5,9,1,5,1,274.82,274.82,2024-06-27,0,3,,0,2024-07-21
164,5,9,1,5,1,274.82,274.82,2024-06-26,1,2,,0,2024-07-20
165,5,3,1,5,1,274.82,274.82,2024-07-04,0,1,,0,2024-07-24
166,5,7,1,5,1,274.82,274.82,2024-06-24,1,7,,0,2024-07-09
167,5,3,1,5,2,274.82,549.64,2024-06-25,0,2,2024-07-04,0,2024-07-15
168,5,3,1,5,1,274.82,274.82,2024-06-09,1,6,2024-06-30,1,2024-06-29
169,5,9,1,5,1,274.82,274.82,2024-06-22,0,2,,0,2024-07-16
170,5,3,1,5,1,274.82,274.82,2024-06-14,0,2,2024-06-25,0,2024-07-04
171,5,7,1,5,1,274.82,274.82,2024-06-12,0,2,2024-06-26,0,2024-06-27
172,5,3,1,5,1,274.82,274.82,2024-06-17,1,1,,0,2024-07-07
173,5,3,1,5,1,274.82,274.82,2024-06-17,1,4,,0,2024-07-07
174,5,7,1,5,1,274.82,274.82,2024-06-14,0,1,2024-06-23,0,2024-06-29
175,5,7,1,5,1,274.82,274.82,2024-06-18,0,1,,1,2024-07-03
176,5,9,1,5,1,274.82,274.82,2024-06-06,1,2,2024-06-30,0,2024-06-30
177,5,9,1,5,2,274.82,549.64,2024-07-02,0,2,,0,2024-07-26
178,5,3,1,5,1,274.82,274.82,2024-06-18,0,2,2024-07-03,0,2024-07-08
179,5,3,1,5,1,274.82,274.82,2024-06-05,0,4,2024-07-02,1,2024-06-25
180,5,7,1,5,2,274.82,549.64,2024-06-10,0,2,2024-06-18,0,2024-06-25
181,5,3,1,5,1,274.82,274.82,2024-06-29,0,2,,0,2024-07-19
182,5,3,1,5,1,274.82,274.82,2024-06-15,0,2,2024-06-29,0,2024-07-05
183,5,3,1,5,3,274.82,824.46,2024-07-01,0,2,,0,2024-07-21
184,5,7,1,5,1,274.82,274.82,2024-06-13,0,2,2024-06-20,0,2024-06-28
185,5,7,1,5,1,274.82,274.82,2024-06-20,0,2,,1,2024-07-05
186,5,3,1,5,1,274.82,274.82,2024-06-18,0,2,2024-07-05,0,2024-07-08
187,5,9,1,5,2,274.82,549.64,2024-06-18,1,8,,0,2024-07-12
188,5,9,1,5,1,274.82,274.82,2024-06-12,0,7,2024-06-22,0,2024-07-06
189,5,7,1,5,1,274.82,274.82,2024-06-22,0,6,2024-06-29,0,2024-07-07
190,5,3,1,5,1,274.82,274.82,2024-06-09,0,1,2024-06-24,0,2024-06-29
191,5,7,1,5,1,274.82,274.82,2024-07-01,0,3,,0,2024-07-16
192,5,7,1,5,1,274.82,274.82,2024-06-08,0,2,2024-06-29,1,2024-06-23
193,5,9,1,5,1,274.82,274.82,2024-06-17,1,3,2024-06-27,0,2024-07-11
194,5,3,1,5,1,274.82,274.82,2024-06-07,0,1,2024-06-19,0,2024-06-27
195,5,7,1,5,1,274.82,274.82,2024-07-04,0,2,,0,2024-07-19
196,5,3,1,5,1,274.82,274.82,2024-06-17,0,2,2024-06-23,0,2024-07-07
197,5,9,1,5,1,274.82,274.82,2024-06-21,0,2,,0,2024-07-15
198,5,3,1,5,1,274.82,274.82,2024-06-28,1,7,,0,2024-07-18
199,5,9,1,5,1,274.82,274.82,2024-06-06,1,7,2024-06-29,0,2024-06-30
200,5,3,1,5,1,274.82,274.82,2024-06-22,1,2,,0,2024-07-12
201,5,7,1,5,1,274.82,274.82,2024-06-22,0,2,,0,2024-07-07
202,5,7,1,5,1,274.82,274.82,2024-06-26,0,1,,0,2024-07-11
203,5,7,1,5,1,274.82,274.82,2024-06-13,1,3,,1,2024-06-28
204,5,3,1,5,1,274.82,274.82,2024-07-01,0,7,,0,2024-07-21
205,5,9,1,5,2,274.82,549.64,2024-06-26,0,2,,0,2024-07-20
206,5,7,1,5,1,274.82,274.82,2024-06-30,0,6,,0,2024-07-15
207,5,9,1,5,3,274.82,824.46,2024-06-29,0,2,,0,2024-07-23
208,5,7,1,5,1,274.82,274.82,2024-06-14,1,4,,1,2024-06-29
209,5,7,1,5,1,274.82,274.82,2024-06-16,0,1,2024-06-24,0,2024-07-01
210,5,9,1,5,1,274.82,274.82,2024-06-10,0,1,,1,2024-07-04
211,5,7,1,5,1,274.82,274.82,2024-06-05,0,7,2024-06-18,0,2024-06-20
212,5,3,1,5,3,274.82,824.46,2024-06-11,0,8,2024-06-23,0,2024-07-01
213,5,9,1,5,1,274.82,274.82,2024-06-17,1,4,2024-06-24,0,2024-07-11
214,5,3,1,5,1,274.82,274.82,2024-06-14,0,2,2024-06-27,0,2024-07-04
215,5,7,1,5,1,274.82,274.82,2024-06-08,0,1,2024-06-18,0,2024-06-23
216,5,7,1,5,2,274.82,549.64,2024-06-21,0,7,,0,2024-07-06
217,6,7,1,6,1,274.82,274.82,2024-06-12,1,2,2024-06-24,0,2024-06-27
218,6,9,1,6,4,274.82,1099.28,2024-06-15,0,2,2024-06-23,0,2024-06-30
219,6,9,1,6,4,274.82,1099.28,2024-06-20,1,8,,1,2024-07-05
220,6,3,1,6,8,274.82,2198.56,2024-06-13,0,2,2024-07-03,1,2024-07-02
221,6,3,1,6,6,274.82,1648.92,2024-06-13,0,2,2024-06-26,0,2024-07-02
222,6,7,1,6,1,274.82,274.82,2024-06-28,0,2,2024-07-05,0,2024-07-13
223,6,9,1,6,4,274.82,1099.28,2024-06-25,0,1,2024-07-01,0,2024-07-10
224,6,3,1,6,1,274.82,274.82,2024-06-20,0,7,2024-07-04,0,2024-07-09
225,6,3,1,6,2,274.82,549.64,2024-06-30,0,1,,0,2024-07-19
226,6,9,1,6,1,274.82,274.82,2024-06-10,1,2,,1,2024-06-25
227,6,3,1,6,17,274.82,4671.94,2024-06-29,0,2,,0,2024-07-18
228,6,3,1,6,1,274.82,274.82,2024-06-28,0,2,,0,2024-07-17
229,6,9,1,6,7,274.82,1923.74,2024-06-14,0,2,2024-07-01,1,2024-06-29
230,6,7,1,6,5,274.82,1374.1,2024-06-14,0,8,,1,2024-06-29
231,6,7,1,6,2,274.82,549.64,2024-06-06,0,3,2024-06-14,0,2024-06-21
232,6,9,1,6,1,274.82,274.82,2024-06-26,0,2,,0,2024-07-11
233,6,9,1,6,8,274.82,2198.56,2024-06-22,0,2,,0,2024-07-07
234,6,7,1,6,2,274.82,549.64,2024-07-03,1,2,,0,2024-07-18
235,6,7,1,6,32,274.82,8794.24,2024-06-18,0,8,2024-07-03,0,2024-07-03
236,6,7,1,6,12,274.82,3297.84,2024-06-28,0,4,,0,2024-07-13
237,6,3,1,6,2,274.82,549.64,2024-06-15,0,2,2024-06-30,0,2024-07-04
238,6,9,1,6,1,274.82,274.82,2024-06-18,0,2,2024-06-22,0,2024-07-03
239,7,3,1,7,1,274.82,274.82,2024-07-02,0,1,,0,2024-07-23
240,7,3,1,7,2,274.82,549.64,2024-07-03,0,1,,0,2024-07-24
241,7,7,1,7,1,274.82,274.82,2024-06-20,0,2,2024-07-02,0,2024-07-09
242,7,9,1,7,1,274.82,274.82,2024-06-10,0,2,2024-06-30,1,2024-06-26
243,7,3,1,7,1,274.82,274.82,2024-06-22,0,2,,0,2024-07-13
244,7,7,1,7,1,274.82,274.82,2024-07-01,0,2,,0,2024-07-20
245,7,9,1,7,1,274.82,274.82,2024-06-05,0,2,2024-06-13,0,2024-06-21
246,7,7,1,7,1,274.82,274.82,2024-06-09,1,2,2024-06-27,0,2024-06-28
247,7,9,1,7,1,274.82,274.82,2024-06-17,0,1,,1,2024-07-03
248,7,9,1,7,2,274.82,549.64,2024-06-23,0,2,2024-06-29,0,2024-07-09
249,7,3,1,7,1,274.82,274.82,2024-06-18,1,7,2024-07-03,0,2024-07-09
250,7,7,1,7,1,274.82,274.82,2024-07-01,0,8,,0,2024-07-20
251,7,3,1,7,1,274.82,274.82,2024-06-09,0,1,2024-06-21,0,2024-06-30
252,7,3,1,7,2,274.82,549.64,2024-06-10,0,2,2024-06-30,0,2024-07-01
253,7,9,1,7,1,274.82,274.82,2024-06-25,1,2,,0,2024-07-11
254,7,3,1,7,1,274.82,274.82,2024-07-02,0,1,,0,2024-07-23
255,7,7,1,7,1,274.82,274.82,2024-06-08,1,6,2024-06-19,0,2024-06-27
256,7,3,1,7,1,274.82,274.82,2024-06-08,1,8,2024-07-02,1,2024-06-29
257,7,9,1,7,1,274.82,274.82,2024-06-28,0,4,,0,2024-07-14
258,7,3,1,7,1,274.82,274.82,2024-06-27,0,2,,0,2024-07-18
259,7,7,1,7,1,274.82,274.82,2024-06-11,0,1,2024-06-28,0,2024-06-30
260,7,3,1,7,3,274.82,824.46,2024-06-23,0,6,,0,2024-07-14
261,7,7,1,7,2,274.82,549.64,2024-06-17,1,2,,0,2024-07-06
262,7,3,1,7,2,274.82,549.64,2024-06-09,0,1,2024-06-19,0,2024-06-30
263,7,7,1,7,3,274.82,824.46,2024-06-30,0,2,,0,2024-07-19
264,7,7,1,7,1,274.82,274.82,2024-06-23,0,1,,0,2024-07-12
265,7,7,1,7,1,274.82,274.82,2024-06-10,1,1,2024-06-29,0,2024-06-29
266,7,3,1,7,1,274.82,274.82,2024-07-03,0,2,,0,2024-07-24
267,7,3,1,7,1,274.82,274.82,2024-07-04,0,4,,0,2024-07-25
268,7,9,1,7,1,274.82,274.82,2024-06-15,0,8,2024-07-01,0,2024-07-01
269,7,3,1,7,1,274.82,274.82,2024-06-10,0,7,2024-06-26,0,2024-07-01
270,7,9,1,7,1,274.82,274.82,2024-06-16,1,2,,1,2024-07-02
271,7,9,1,7,1,274.82,274.82,2024-07-03,0,6,,0,2024-07-19
272,7,3,1,7,1,274.82,274.82,2024-06-23,1,2,,0,2024-07-14
273,7,9,1,7,1,274.82,274.82,2024-06-15,0,2,2024-06-27,0,2024-07-01
274,7,7,1,7,1,274.82,274.82,2024-07-02,0,8,,0,2024-07-21
275,7,9,1,7,1,274.82,274.82,2024-06-13,1,2,,1,2024-06-29
276,7,3,1,7,1,274.82,274.82,2024-06-24,0,2,,0,2024-07-15
277,7,3,1,7,3,274.82,824.46,2024-06-28,0,2,,0,2024-07-19
278,7,3,1,7,1,274.82,274.82,2024-06-17,1,1,2024-07-05,0,2024-07-08
279,7,9,1,7,1,274.82,274.82,2024-06-07,0,2,2024-06-15,0,2024-06-23
280,7,9,1,7,1,274.82,274.82,2024-06-05,0,2,2024-06-14,0,2024-06-21
281,7,7,1,7,2,274.82,549.64,2024-06-30,0,2,,0,2024-07-19
282,7,9,1,7,3,274.82,824.46,2024-06-08,0,2,2024-06-19,0,2024-06-24
283,7,9,1,7,3,274.82,824.46,2024-06-27,0,6,2024-07-04,0,2024-07-13
284,7,9,1,7,1,274.82,274.82,2024-06-05,1,7,2024-06-20,0,2024-06-21
285,7,9,1,7,1,274.82,274.82,2024-06-09,0,5,2024-06-19,0,2024-06-25
286,7,9,1,7,1,274.82,274.82,2024-06-18,0,3,2024-07-03,0,2024-07-04
287,7,9,1,7,2,274.82,549.64,2024-06-13,0,2,2024-06-29,0,2024-06-29
288,7,7,1,7,1,274.82,274.82,2024-06-16,0,2,,1,2024-07-05
289,7,9,1,7,1,274.82,274.82,2024-06-06,0,8,2024-06-20,0,2024-06-22
290,7,3,1,7,2,274.82,549.64,2024-06-27,0,7,2024-07-05,0,2024-07-18
291,7,7,1,7,1,274.82,274.82,2024-06-07,0,3,2024-06-26,0,2024-06-26
292,7,3,1,7,2,274.82,549.64,2024-06-29,0,1,,0,2024-07-20
293,7,7,1,7,1,274.82,274.82,2024-06-11,0,2,2024-06-16,0,2024-06-30
294,7,9,1,7,2,274.82,549.64,2024-06-16,0,7,2024-06-24,0,2024-07-02
295,7,9,1,7,1,274.82,274.82,2024-06-13,0,1,2024-06-24,0,2024-06-29
296,7,7,1,7,1,274.82,274.82,2024-06-09,0,1,2024-06-23,0,2024-06-28
297,7,9,1,7,1,274.82,274.82,2024-06-30,0,4,,0,2024-07-16
298,7,3,1,7,1,274.82,274.82,2024-06-11,0,6,2024-06-24,0,2024-07-02
299,7,7,1,7,2,274.82,549.64,2024-06-20,1,6,,0,2024-07-09
300,7,9,1,7,3,274.82,824.46,2024-06-26,1,1,,0,2024-07-12
301,7,9,1,7,2,274.82,549.64,2024-06-06,0,1,2024-06-10,0,2024-06-22
302,7,7,1,7,1,274.82,274.82,2024-06-12,0,2,2024-06-25,0,2024-07-01
303,7,9,1,7,2,274.82,549.64,2024-06-20,0,6,,0,2024-07-06
304,7,7,1,7,1,274.82,274.82,2024-06-27,0,2,,0,2024-07-16
305,7,3,1,7,1,274.82,274.82,2024-06-11,0,4,2024-06-21,0,2024-07-02
306,8,5,2,1,4,789.81,3159.24,2024-07-01,0,2,,0,2024-07-19
307,8,5,2,1,2,789.81,1579.62,2024-06-18,0,1,2024-07-03,0,2024-07-06
308,8,10,2,1,1,789.81,789.81,2024-06-27,0,1,2024-07-02,0,2024-07-13
309,8,10,2,1,1,789.81,789.81,2024-06-15,0,2,2024-06-30,0,2024-07-01
310,8,10,2,1,2,789.81,1579.62,2024-06-20,1,2,2024-07-03,0,2024-07-06
311,8,5,2,1,1,789.81,789.81,2024-06-28,0,2,,0,2024-07-16
312,8,10,2,1,2,789.81,1579.62,2024-06-09,0,2,2024-06-21,0,2024-06-25
313,8,5,2,1,1,789.81,789.81,2024-06-24,0,2,2024-07-02,0,2024-07-12
